Date,Hour,MAS
2023-10-02,13,8.51
2023-10-02,13,6.18
2023-10-02,13,0
2023-10-02,13,0
2023-10-02,13,0
2023-10-02,13,0
2023-10-02,13,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,14,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,15,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,16,0
2023-10-02,17,0
2023-10-02,17,0
2023-10-02,17,0
2023-10-02,17,6.23
2023-10-02,17,0
2023-10-02,17,0
2023-10-02,17,0
2023-10-02,17,0
2023-10-02,17,6.7
2023-10-02,17,6.14
2023-10-02,17,6.57
2023-10-02,17,7.04
2023-10-02,18,6.63
2023-10-02,18,6.38
2023-10-02,18,6.33
2023-10-02,18,6.89
2023-10-02,18,6.63
2023-10-02,18,6.34
2023-10-02,18,6.06
2023-10-02,18,6.21
2023-10-02,18,7.15
2023-10-02,18,7.07
2023-10-02,18,7.8
2023-10-02,18,8.17
2023-10-02,19,8.48
2023-10-02,19,8.6
2023-10-02,19,8.71
2023-10-02,19,9.1
2023-10-02,19,9.71
2023-10-02,19,10.27
2023-10-02,19,11.05
2023-10-02,19,11.85
2023-10-02,19,12.94
2023-10-02,19,13.74
2023-10-02,19,14.13
2023-10-02,19,14.27
2023-10-02,20,14.31
2023-10-02,20,14.33
2023-10-02,20,14.36
2023-10-02,20,14.41
2023-10-02,20,14.43
2023-10-02,20,14.46
2023-10-02,20,14.44
2023-10-02,20,14.42
2023-10-02,20,14.44
2023-10-02,20,14.5
2023-10-02,20,14.52
2023-10-02,20,14.55
