Date,Hour,MAS
02/10/2023,13,8.51
02/10/2023,13,6.18
02/10/2023,13,0
02/10/2023,13,0
02/10/2023,13,0
02/10/2023,13,0
02/10/2023,13,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,14,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,15,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,16,0
02/10/2023,17,0
02/10/2023,17,0
02/10/2023,17,0
02/10/2023,17,6.23
02/10/2023,17,0
02/10/2023,17,0
02/10/2023,17,0
02/10/2023,17,0
02/10/2023,17,6.7
02/10/2023,17,6.14
02/10/2023,17,6.57
02/10/2023,17,7.04
02/10/2023,18,6.63
02/10/2023,18,6.38
02/10/2023,18,6.33
02/10/2023,18,6.89
02/10/2023,18,6.63
02/10/2023,18,6.34
02/10/2023,18,6.06
02/10/2023,18,6.21
02/10/2023,18,7.15
02/10/2023,18,7.07
02/10/2023,18,7.8
02/10/2023,18,8.17
02/10/2023,19,8.48
02/10/2023,19,8.6
02/10/2023,19,8.71
02/10/2023,19,9.1
02/10/2023,19,9.71
02/10/2023,19,10.27
02/10/2023,19,11.05
02/10/2023,19,11.85
02/10/2023,19,12.94
02/10/2023,19,13.74
02/10/2023,19,14.13
02/10/2023,19,14.27
02/10/2023,20,14.31
02/10/2023,20,14.33
02/10/2023,20,14.36
02/10/2023,20,14.41
02/10/2023,20,14.43
02/10/2023,20,14.46
02/10/2023,20,14.44
02/10/2023,20,14.42
02/10/2023,20,14.44
02/10/2023,20,14.5
02/10/2023,20,14.52
02/10/2023,20,14.55
02/10/2023,21,14.38
02/10/2023,21,14.47
02/10/2023,21,14.55
02/10/2023,21,14.6
02/10/2023,21,14.74
02/10/2023,21,14.71
02/10/2023,21,14.48
02/10/2023,21,14.55
02/10/2023,21,14.61
02/10/2023,21,14.75
02/10/2023,21,14.47
02/10/2023,21,14.75
02/10/2023,22,14.97
02/10/2023,22,15.01
02/10/2023,22,14.63
02/10/2023,22,14.62
02/10/2023,22,14.63
02/10/2023,22,14.6
02/10/2023,22,14.82
02/10/2023,22,15.01
02/10/2023,22,14.82
02/10/2023,22,14.65
02/10/2023,22,14.79
02/10/2023,22,14.9
02/10/2023,23,14.88
02/10/2023,23,14.85
02/10/2023,23,14.86
02/10/2023,23,14.91
02/10/2023,23,15.02
02/10/2023,23,15.34
02/10/2023,23,15.28
02/10/2023,23,15.42
02/10/2023,23,15.36
02/10/2023,23,15.17
02/10/2023,23,15.14
02/10/2023,23,14.96
03/10/2023,0,14.79
03/10/2023,0,14.84
03/10/2023,0,14.83
03/10/2023,0,15.06
03/10/2023,0,15.05
03/10/2023,0,14.79
03/10/2023,0,14.86
03/10/2023,0,14.93
03/10/2023,0,15.05
03/10/2023,0,15.25
03/10/2023,0,15.15
03/10/2023,0,14.85
03/10/2023,1,14.69
03/10/2023,1,14.94
03/10/2023,1,14.94
03/10/2023,1,15.1
03/10/2023,1,15.21
03/10/2023,1,15.14
03/10/2023,1,15
03/10/2023,1,15.17
03/10/2023,1,15.22
03/10/2023,1,15.53
03/10/2023,1,16.02
03/10/2023,1,15.83
03/10/2023,2,16.16
03/10/2023,2,16.28
03/10/2023,2,16.12
03/10/2023,2,16.21
03/10/2023,2,15.64
03/10/2023,2,15.14
03/10/2023,2,15.13
03/10/2023,2,15.2
03/10/2023,2,15.06
03/10/2023,2,14.85
03/10/2023,2,15
03/10/2023,2,14.73
03/10/2023,3,14.97
03/10/2023,3,14.94
03/10/2023,3,14.85
03/10/2023,3,15.33
03/10/2023,3,14.8
03/10/2023,3,14.58
03/10/2023,3,14.41
03/10/2023,3,14.57
03/10/2023,3,15.13
03/10/2023,3,15.05
03/10/2023,3,14.87
03/10/2023,3,14.71
03/10/2023,4,14.7
03/10/2023,4,14.96
03/10/2023,4,15.07
03/10/2023,4,14.97
03/10/2023,4,14.87
03/10/2023,4,15.26
03/10/2023,4,14.78
03/10/2023,4,14.65
03/10/2023,4,14.55
03/10/2023,4,14.65
03/10/2023,4,14.39
03/10/2023,4,14.53
03/10/2023,5,14.48
03/10/2023,5,14.84
03/10/2023,5,14.97
03/10/2023,5,14.81
03/10/2023,5,14.93
03/10/2023,5,15.5
03/10/2023,5,15.47
03/10/2023,5,15.23
03/10/2023,5,15.2
03/10/2023,5,15.17
03/10/2023,5,15.15
03/10/2023,5,15.75
03/10/2023,6,15.59
03/10/2023,6,15.27
03/10/2023,6,14.36
03/10/2023,6,14.45
03/10/2023,6,14.57
03/10/2023,6,14.42
03/10/2023,6,14.43
03/10/2023,6,14.49
03/10/2023,6,14.52
03/10/2023,6,14.68
03/10/2023,6,14.77
03/10/2023,6,14.33
03/10/2023,7,13.65
03/10/2023,7,12.57
03/10/2023,7,11.62
03/10/2023,7,10.54
03/10/2023,7,9.18
03/10/2023,7,7.68
03/10/2023,7,6.61
03/10/2023,7,6
03/10/2023,7,0
03/10/2023,7,0
03/10/2023,7,0
03/10/2023,7,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,8,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,9,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,10,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,11,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,12,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,13,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,14,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,15,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,16,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,17,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,0
03/10/2023,18,6.33
03/10/2023,18,6.47
03/10/2023,18,6.48
03/10/2023,19,6.67
03/10/2023,19,6.71
03/10/2023,19,6.74
03/10/2023,19,7.08
03/10/2023,19,7.61
03/10/2023,19,8.28
03/10/2023,19,9.11
03/10/2023,19,10.29
03/10/2023,19,11.8
03/10/2023,19,13.25
03/10/2023,19,14.65
03/10/2023,19,15.02
03/10/2023,20,15.84
03/10/2023,20,16.07
03/10/2023,20,16.02
03/10/2023,20,15.94
03/10/2023,20,16.43
03/10/2023,20,15.15
03/10/2023,20,15.76
03/10/2023,20,16.49
03/10/2023,20,16.27
03/10/2023,20,16.72
03/10/2023,20,15.55
03/10/2023,20,14.55
03/10/2023,21,14.5
03/10/2023,21,14.44
03/10/2023,21,14.24
03/10/2023,21,14.33
03/10/2023,21,14.18
03/10/2023,21,14.04
03/10/2023,21,14.04
03/10/2023,21,13.95
03/10/2023,21,14.01
03/10/2023,21,14.03
03/10/2023,21,14.01
03/10/2023,21,14.03
03/10/2023,22,13.95
03/10/2023,22,13.91
03/10/2023,22,14.02
03/10/2023,22,14.05
03/10/2023,22,14.13
03/10/2023,22,14.13
03/10/2023,22,14.16
03/10/2023,22,14.18
03/10/2023,22,14.19
03/10/2023,22,14.21
03/10/2023,22,14.23
03/10/2023,22,14.22
03/10/2023,23,14.25
03/10/2023,23,14.25
03/10/2023,23,14.23
03/10/2023,23,14.25
03/10/2023,23,14.27
03/10/2023,23,14.28
03/10/2023,23,14.31
03/10/2023,23,14.31
03/10/2023,23,14.32
03/10/2023,23,14.33
03/10/2023,23,14.33
03/10/2023,23,14.36
04/10/2023,0,14.38
04/10/2023,0,14.4
04/10/2023,0,14.39
04/10/2023,0,14.41
04/10/2023,0,14.43
04/10/2023,0,14.46
04/10/2023,0,14.47
04/10/2023,0,14.5
04/10/2023,0,14.52
04/10/2023,0,14.55
04/10/2023,0,14.6
04/10/2023,0,14.76
04/10/2023,1,14.9
04/10/2023,1,15.16
04/10/2023,1,14.88
04/10/2023,1,14.58
04/10/2023,1,14.73
04/10/2023,1,14.91
04/10/2023,1,14.67
04/10/2023,1,14.67
04/10/2023,1,14.6
04/10/2023,1,14.65
04/10/2023,1,14.75
04/10/2023,1,14.8
04/10/2023,2,15.05
04/10/2023,2,14.9
04/10/2023,2,14.94
04/10/2023,2,14.93
04/10/2023,2,14.57
04/10/2023,2,14.47
04/10/2023,2,14.68
04/10/2023,2,14.82
04/10/2023,2,15.86
04/10/2023,2,15.62
04/10/2023,2,15.52
04/10/2023,2,15.56
04/10/2023,3,15.23
04/10/2023,3,15.17
04/10/2023,3,15.3
04/10/2023,3,16.19
04/10/2023,3,15.74
04/10/2023,3,15.39
04/10/2023,3,15.74
04/10/2023,3,15.49
04/10/2023,3,15.44
04/10/2023,3,15.53
04/10/2023,3,15.24
04/10/2023,3,15.42
04/10/2023,4,15.59
04/10/2023,4,15.77
04/10/2023,4,15.52
04/10/2023,4,15.63
04/10/2023,4,15.65
04/10/2023,4,15.27
04/10/2023,4,15.34
04/10/2023,4,15.23
04/10/2023,4,15.1
04/10/2023,4,15.24
04/10/2023,4,15.08
04/10/2023,4,15.02
04/10/2023,5,15.08
04/10/2023,5,15.03
04/10/2023,5,15.1
04/10/2023,5,15.38
04/10/2023,5,15.55
04/10/2023,5,15.55
04/10/2023,5,14.69
04/10/2023,5,14.65
04/10/2023,5,14.63
04/10/2023,5,14.65
04/10/2023,5,14.7
04/10/2023,5,14.91
04/10/2023,6,15.14
04/10/2023,6,15.38
04/10/2023,6,15.53
04/10/2023,6,15.57
04/10/2023,6,15.67
04/10/2023,6,15.89
04/10/2023,6,15.92
04/10/2023,6,16
04/10/2023,6,16.2
04/10/2023,6,16.21
04/10/2023,6,15.99
04/10/2023,6,15.37
04/10/2023,7,14.31
04/10/2023,7,13.02
04/10/2023,7,11.46
04/10/2023,7,9.9
04/10/2023,7,8.66
04/10/2023,7,7.88
04/10/2023,7,7.11
04/10/2023,7,6.42
04/10/2023,7,0
04/10/2023,7,0
04/10/2023,7,0
04/10/2023,7,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,8,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,9,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,10,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,11,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,12,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,13,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,14,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,15,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,16,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,17,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,18,0
04/10/2023,19,5.9
04/10/2023,19,6.23
04/10/2023,19,7.15
04/10/2023,19,7.44
04/10/2023,19,7.76
04/10/2023,19,8.33
04/10/2023,19,9.22
04/10/2023,19,10.56
04/10/2023,19,11.98
04/10/2023,19,13.44
04/10/2023,19,14.72
04/10/2023,19,14.45
04/10/2023,20,14.23
